op,key,latency_ms,stale,version
write,key0008,0.00,false,23
write,key0017,0.00,false,30
write,key0005,0.00,false,27
write,key0007,0.00,false,19
write,key0013,0.00,false,19
write,key0000,0.00,false,30
write,key0009,0.00,false,27
write,key0005,0.00,false,28
write,key0000,0.00,false,31
write,key0018,0.00,false,35
write,key0005,0.00,false,29
write,key0002,0.00,false,27
read,key0004,0.00,false,28
write,key0017,0.00,false,31
write,key0001,0.00,false,26
write,key0003,0.00,false,30
write,key0001,0.00,false,27
write,key0000,0.00,false,32
write,key0007,0.00,false,20
write,key0018,0.00,false,36
write,key0004,0.00,false,29
write,key0016,0.00,false,29
write,key0011,0.00,false,19
write,key0015,0.00,false,15
write,key0003,0.00,false,31
write,key0001,0.00,false,28
write,key0002,0.00,false,28
read,key0018,52.00,false,36
read,key0003,52.00,false,31
write,key0018,0.00,false,37
write,key0015,0.00,false,16
write,key0010,0.00,false,30
write,key0008,0.00,false,24
write,key0009,0.00,false,28
write,key0017,0.00,false,32
write,key0012,0.00,false,24
write,key0005,0.00,false,30
write,key0017,0.00,false,33
write,key0013,0.00,false,20
read,key0007,0.00,false,20
write,key0017,0.00,false,34
write,key0014,0.00,false,32
write,key0004,0.00,false,30
write,key0016,0.00,false,30
write,key0001,0.00,false,29
write,key0013,0.00,false,21
write,key0008,0.00,false,25
write,key0014,0.00,false,33
write,key0005,0.00,false,31
write,key0018,0.00,false,38
write,key0004,0.00,false,31
read,key0009,1.00,true,24
write,key0000,0.00,false,33
write,key0019,0.00,false,23
write,key0016,0.00,false,31
write,key0005,0.00,false,32
read,key0011,51.00,false,19
write,key0006,0.00,false,31
write,key0004,3.00,false,32
write,key0016,3.00,false,32
write,key0003,5.00,false,32
write,key0018,4.00,false,39
write,key0014,0.00,false,34
write,key0000,0.00,false,34
write,key0013,0.00,false,22
write,key0008,0.00,false,26
write,key0007,0.00,false,21
write,key0016,0.00,false,33
write,key0009,0.00,false,29
write,key0018,1.00,false,40
write,key0010,0.00,false,31
write,key0010,0.00,false,32
write,key0008,0.00,false,27
