op,key,latency_ms,stale,version,timestamp_ms
read,key0015,74.00,false,6,1775421962123
read,key0013,73.00,false,1,1775421962123
read,key0016,73.00,false,6,1775421962123
read,key0017,74.00,false,4,1775421962123
read,key0017,74.00,false,4,1775421962123
read,key0017,73.00,false,4,1775421962123
read,key0017,73.00,false,4,1775421962123
read,key0008,74.00,false,5,1775421962123
read,key0018,52.00,false,2,1775421962175
write,key0006,422.00,false,3,1775421962472
write,key0000,422.00,false,3,1775421962472
write,key0015,407.00,false,7,1775421962531
write,key0012,409.00,false,6,1775421962532
write,key0011,407.00,false,5,1775421962531
write,key0018,407.00,false,3,1775421962531
write,key0004,407.00,false,8,1775421962530
write,key0006,407.00,false,3,1775421962531
write,key0013,408.00,false,2,1775421962532
write,key0016,402.00,false,7,1775421962578
read,key0000,53.00,false,3,1775421962647
read,key0008,53.00,false,5,1775421962647
read,key0008,56.00,false,5,1775421962690
read,key0001,53.00,false,0,1775421962700
read,key0015,53.00,false,7,1775421962700
read,key0000,53.00,false,3,1775421962744
read,key0001,59.00,false,0,1775421962759
read,key0011,54.00,false,5,1775421962798
read,key0007,56.00,false,5,1775421962815
read,key0001,54.00,false,0,1775421962853
read,key0001,52.00,false,0,1775421962868
read,key0002,58.00,false,4,1775421962911
write,key0019,406.00,false,6,1775421962933
write,key0002,406.00,false,4,1775421962933
write,key0013,405.00,false,3,1775421962998
write,key0007,405.00,false,5,1775421962998
write,key0014,405.00,false,5,1775421962998
write,key0010,405.00,false,4,1775421962998
write,key0010,404.00,false,4,1775421962998
read,key0013,52.00,false,3,1775421963109
read,key0012,53.00,false,6,1775421963109
read,key0008,53.00,false,5,1775421963112
write,key0015,409.00,false,8,1775421963109
read,key0019,54.00,false,7,1775421963163
read,key0018,58.00,false,3,1775421963167
read,key0005,53.00,false,1,1775421963217
read,key0011,53.00,false,5,1775421963217
read,key0017,53.00,false,7,1775421963270
write,key0017,408.00,false,7,1775421963276
write,key0017,403.00,false,7,1775421963315
write,key0002,403.00,false,5,1775421963393
write,key0019,403.00,false,7,1775421963393
write,key0006,402.00,false,4,1775421963461
write,key0017,403.00,false,7,1775421963459
write,key0012,404.00,false,7,1775421963517
read,key0015,59.00,false,8,1775421963576
write,key0003,404.00,false,4,1775421963572
read,key0009,52.00,false,4,1775421963628
