op,key,latency_ms,stale,version
read,key0003,12.00,false,1
read,key0006,12.00,false,7
read,key0011,14.00,false,6
read,key0012,3.00,false,3
read,key0015,3.00,false,2
write,key0014,819.00,false,3
write,key0002,819.00,false,4
write,key0008,818.00,false,7
write,key0014,819.00,false,3
write,key0018,819.00,false,3
write,key0019,819.00,false,4
write,key0009,819.00,false,5
write,key0013,806.00,false,5
read,key0013,1.00,false,5
read,key0000,2.00,false,3
read,key0010,2.00,false,0
write,key0009,808.00,false,5
read,key0008,2.00,false,7
read,key0006,3.00,false,7
read,key0009,1.00,false,5
write,key0001,803.00,false,1
read,key0013,1.00,false,5
read,key0003,3.00,false,1
read,key0019,3.00,false,4
read,key0016,4.00,false,3
read,key0013,1.00,false,5
read,key0012,5.00,false,3
read,key0015,1.00,false,2
read,key0011,11.00,false,6
write,key0010,804.00,false,1
write,key0003,804.00,false,2
write,key0011,803.00,false,7
write,key0016,804.00,false,4
read,key0010,1.00,false,1
write,key0009,803.00,false,6
read,key0001,2.00,false,2
write,key0017,806.00,false,6
read,key0010,6.00,false,2
write,key0002,807.00,false,5
write,key0017,802.00,false,6
write,key0001,807.00,false,3
read,key0003,1.00,false,3
read,key0000,1.00,false,3
read,key0016,1.00,false,4
read,key0017,1.00,false,6
read,key0004,2.00,false,3
write,key0004,807.00,false,3
read,key0005,3.00,false,3
read,key0000,0.00,false,5
read,key0003,0.00,false,2
read,key0015,0.00,false,2
read,key0013,0.00,false,5
write,key0005,813.00,false,3
write,key0001,813.00,false,3
write,key0010,807.00,false,5
write,key0000,809.00,false,5
read,key0010,2.00,false,6
write,key0010,805.00,false,5
read,key0002,3.00,false,5
write,key0010,805.00,false,5
write,key0010,803.00,false,5
write,key0003,813.00,false,3
read,key0012,2.00,false,3
read,key0014,5.00,false,3
read,key0018,2.00,false,3
write,key0000,806.00,false,5
read,key0015,6.00,false,2
write,key0004,804.00,false,4
read,key0004,1.00,false,4
read,key0000,1.00,false,6
read,key0007,1.00,false,1
read,key0013,1.00,false,5
read,key0015,2.00,false,2
read,key0000,2.00,false,5
write,key0018,817.00,false,5
write,key0001,822.00,false,4
write,key0019,820.00,false,5
write,key0017,820.00,false,8
write,key0018,822.00,false,5
write,key0005,820.00,false,4
write,key0004,822.00,false,5
write,key0015,825.00,false,3
read,key0004,2.00,false,5
write,key0017,820.00,false,8
write,key0014,822.00,false,4
read,key0013,1.00,false,5
read,key0006,2.00,false,7
read,key0003,1.00,false,3
read,key0004,2.00,false,5
read,key0017,1.00,false,8
write,key0007,809.00,false,2
write,key0016,813.00,false,5
write,key0004,814.00,false,6
write,key0010,809.00,false,7
write,key0010,813.00,false,7
write,key0008,813.00,false,9
write,key0005,814.00,false,5
write,key0013,812.00,false,6
read,key0006,3.00,false,7
read,key0006,3.00,false,7
read,key0002,3.00,false,5
read,key0012,3.00,false,3
write,key0008,814.00,false,9
write,key0018,809.00,false,6
read,key0007,0.00,false,2
read,key0002,1.00,false,5
write,key0005,817.00,false,7
write,key0013,814.00,false,7
write,key0009,811.00,false,7
write,key0005,817.00,false,7
write,key0006,811.00,false,9
write,key0007,814.00,false,3
write,key0010,814.00,false,8
read,key0002,3.00,false,5
read,key0012,4.00,false,3
write,key0006,814.00,false,9
read,key0013,1.00,false,7
write,key0019,818.00,false,6
write,key0004,817.00,false,7
read,key0018,2.00,false,7
