op,key,latency_ms,stale,version,timestamp_ms
read,key0013,6.00,false,20,1775421859663
write,key0013,824.00,false,23,1775421860481
write,key0013,824.00,false,23,1775421860481
write,key0013,824.00,false,23,1775421860481
write,key0001,824.00,false,17,1775421860481
write,key0018,824.00,false,25,1775421860481
write,key0001,824.00,false,17,1775421860481
write,key0012,817.00,false,12,1775421860481
write,key0005,824.00,false,19,1775421860481
write,key0001,824.00,false,17,1775421860481
read,key0007,8.00,false,24,1775421860493
write,key0016,824.00,false,23,1775421860481
write,key0007,813.00,false,25,1775421861306
write,key0018,820.00,false,27,1775421861307
write,key0018,820.00,false,27,1775421861306
write,key0012,813.00,false,14,1775421861307
write,key0011,813.00,false,15,1775421861307
write,key0004,820.00,false,18,1775421861307
write,key0019,819.00,false,10,1775421861306
write,key0012,820.00,false,14,1775421861307
write,key0006,820.00,false,19,1775421861307
write,key0005,821.00,false,20,1775421861307
write,key0015,809.00,false,21,1775421862118
write,key0009,809.00,false,10,1775421862118
write,key0015,809.00,false,21,1775421862118
write,key0005,809.00,false,21,1775421862118
write,key0011,809.00,false,17,1775421862118
write,key0003,809.00,false,7,1775421862118
write,key0002,809.00,false,17,1775421862118
write,key0016,808.00,false,24,1775421862118
write,key0010,809.00,false,13,1775421862118
write,key0011,809.00,false,19,1775421862118
write,key0011,816.00,false,19,1775421862937
write,key0011,816.00,false,19,1775421862937
write,key0006,812.00,false,20,1775421862937
write,key0000,816.00,false,11,1775421862937
write,key0015,816.00,false,22,1775421862937
write,key0016,816.00,false,25,1775421862937
write,key0014,816.00,false,10,1775421862936
write,key0010,813.00,false,14,1775421862936
write,key0004,816.00,false,19,1775421862937
write,key0001,816.00,false,18,1775421862937
write,key0010,817.00,false,15,1775421863758
write,key0003,817.00,false,9,1775421863758
write,key0018,813.00,false,28,1775421863758
write,key0005,812.00,false,22,1775421863758
write,key0008,817.00,false,21,1775421863758
write,key0019,817.00,false,11,1775421863758
write,key0016,816.00,false,26,1775421863758
write,key0007,817.00,false,26,1775421863758
read,key0014,4.00,false,10,1775421863767
write,key0008,817.00,false,21,1775421863758
write,key0003,817.00,false,9,1775421863759
write,key0013,812.00,false,26,1775421864576
write,key0006,808.00,false,21,1775421864576
write,key0019,808.00,false,12,1775421864576
write,key0000,808.00,false,13,1775421864576
write,key0000,813.00,false,13,1775421864576
write,key0012,813.00,false,15,1775421864576
write,key0013,812.00,false,26,1775421864576
write,key0009,813.00,false,12,1775421864576
write,key0013,813.00,false,26,1775421864576
write,key0009,813.00,false,12,1775421864576
read,key0012,0.00,false,15,1775421864578
read,key0012,0.00,false,15,1775421864578
write,key0018,816.00,false,29,1775421865393
write,key0007,816.00,false,27,1775421865394
write,key0015,816.00,false,24,1775421865393
write,key0000,816.00,false,14,1775421865393
