op,key,latency_ms,stale,version,timestamp_ms
read,key0017,7.00,false,0,1775365845187
read,key0018,8.00,false,0,1775365845188
read,key0006,8.00,false,0,1775365845188
read,key0008,8.00,false,0,1775365845188
read,key0017,9.00,false,0,1775365845189
read,key0014,10.00,false,0,1775365845190
read,key0012,10.00,false,0,1775365845190
read,key0002,10.00,false,1,1775365845190
read,key0008,1.00,false,0,1775365845192
read,key0005,4.00,false,0,1775365845192
read,key0018,4.00,false,0,1775365845193
read,key0011,62.00,false,0,1775365845242
read,key0009,62.00,false,0,1775365845242
read,key0003,2.00,false,0,1775365845245
read,key0003,2.00,false,0,1775365845245
read,key0010,1.00,false,0,1775365845247
read,key0014,1.00,false,0,1775365845247
read,key0003,59.00,false,0,1775365845247
read,key0017,57.00,false,0,1775365845248
read,key0005,58.00,false,0,1775365845248
read,key0019,2.00,false,0,1775365845249
read,key0010,2.00,false,1,1775365845249
read,key0019,57.00,false,0,1775365845250
write,key0006,4.00,false,1,1775365845194
read,key0001,57.00,false,1,1775365845250
read,key0010,2.00,false,1,1775365845250
write,key0009,2.00,false,1,1775365845195
write,key0002,5.00,false,2,1775365845192
read,key0017,3.00,false,0,1775365845251
read,key0012,1.00,false,0,1775365845251
read,key0014,2.00,false,0,1775365845252
read,key0004,2.00,false,0,1775365845253
read,key0010,3.00,false,1,1775365845253
read,key0009,2.00,false,0,1775365845253
read,key0019,3.00,false,0,1775365845253
read,key0017,0.00,false,0,1775365845254
read,key0019,3.00,false,0,1775365845254
read,key0009,2.00,false,0,1775365845254
read,key0014,2.00,false,0,1775365845255
read,key0009,2.00,false,0,1775365845256
read,key0001,2.00,false,0,1775365845256
read,key0001,2.00,false,0,1775365845256
read,key0016,0.00,false,0,1775365845257
read,key0013,1.00,false,1,1775365845258
read,key0015,1.00,false,0,1775365845260
read,key0013,0.00,false,1,1775365845260
read,key0015,0.00,false,0,1775365845260
read,key0011,8.00,false,0,1775365845261
read,key0009,4.00,false,0,1775365845261
read,key0001,8.00,false,0,1775365845261
read,key0001,2.00,false,1,1775365845263
read,key0007,1.00,false,0,1775365845263
read,key0016,0.00,false,0,1775365845264
read,key0015,2.00,false,0,1775365845264
read,key0002,2.00,true,1,1775365845265
read,key0004,1.00,false,0,1775365845266
read,key0007,1.00,false,0,1775365845266
read,key0017,2.00,false,0,1775365845266
read,key0008,1.00,false,0,1775365845267
read,key0003,1.00,false,0,1775365845269
read,key0013,8.00,false,1,1775365845274
read,key0013,1.00,false,1,1775365845276
write,key0013,0.00,false,2,1775365845248
read,key0005,1.00,false,0,1775365845303
read,key0009,1.00,false,0,1775365845304
read,key0008,0.00,false,0,1775365845304
write,key0006,2.00,false,2,1775365845252
read,key0008,0.00,false,0,1775365845306
read,key0013,55.00,false,2,1775365845306
read,key0014,1.00,false,0,1775365845307
read,key0010,0.00,false,1,1775365845307
read,key0000,1.00,false,0,1775365845309
read,key0008,0.00,false,0,1775365845309
write,key0005,1.00,false,1,1775365845258
read,key0016,59.00,false,0,1775365845313
read,key0001,58.00,false,1,1775365845313
read,key0019,1.00,false,0,1775365845315
read,key0004,1.00,false,0,1775365845315
read,key0016,1.00,false,0,1775365845316
read,key0011,60.00,false,0,1775365845326
write,key0013,1.00,false,3,1775365845270
read,key0004,11.00,false,0,1775365845326
read,key0013,10.00,true,1,1775365845327
read,key0016,65.00,false,0,1775365845327
read,key0008,0.00,false,0,1775365845327
read,key0003,1.00,false,0,1775365845328
read,key0017,1.00,false,0,1775365845328
read,key0004,1.00,false,0,1775365845328
read,key0011,2.00,false,0,1775365845329
read,key0008,1.00,false,0,1775365845329
read,key0014,1.00,false,0,1775365845330
read,key0010,1.00,false,1,1775365845330
read,key0001,54.00,false,1,1775365845330
read,key0001,0.00,false,1,1775365845331
read,key0001,1.00,false,1,1775365845331
read,key0004,1.00,false,0,1775365845331
read,key0000,0.00,false,0,1775365845331
read,key0019,1.00,false,0,1775365845332
read,key0019,1.00,false,0,1775365845332
read,key0002,1.00,true,1,1775365845333
read,key0018,1.00,false,0,1775365845333
read,key0015,1.00,false,0,1775365845334
read,key0014,0.00,false,0,1775365845334
read,key0008,51.00,false,0,1775365845355
read,key0016,0.00,false,0,1775365845356
