op,key,latency_ms,stale,version
read,key0007,8.00,false,0
read,key0017,8.00,false,4
read,key0009,6.00,false,1
write,key0019,7.00,false,4
write,key0008,7.00,false,4
read,key0018,0.00,false,4
write,key0016,8.00,false,2
write,key0003,7.00,false,4
write,key0005,8.00,false,4
write,key0005,7.00,false,4
read,key0017,0.00,false,5
read,key0004,3.00,false,4
write,key0014,9.00,false,4
write,key0017,9.00,false,6
read,key0001,0.00,false,3
read,key0015,1.00,false,1
read,key0001,0.00,false,3
read,key0003,3.00,true,3
read,key0013,2.00,false,4
read,key0003,3.00,true,3
read,key0014,1.00,true,3
read,key0006,3.00,false,6
write,key0015,1.00,false,2
write,key0001,0.00,false,4
read,key0005,2.00,true,2
read,key0013,2.00,false,3
write,key0006,0.00,false,8
write,key0012,0.00,false,3
write,key0010,0.00,false,4
write,key0003,1.00,false,5
read,key0010,0.00,true,3
read,key0009,0.00,false,1
read,key0016,0.00,true,1
write,key0018,2.00,false,5
write,key0009,4.00,false,3
read,key0018,0.00,true,4
write,key0009,4.00,false,3
read,key0000,0.00,false,5
write,key0001,1.00,false,5
read,key0014,0.00,true,2
read,key0007,0.00,false,1
read,key0007,1.00,false,1
write,key0018,2.00,false,6
write,key0004,4.00,false,5
write,key0016,0.00,false,3
write,key0014,0.00,false,5
read,key0011,0.00,false,3
read,key0005,52.00,false,5
write,key0016,0.00,false,4
read,key0006,0.00,true,7
write,key0017,0.00,false,7
write,key0012,0.00,false,4
read,key0015,0.00,true,1
read,key0006,0.00,true,5
write,key0016,1.00,false,5
read,key0007,0.00,false,1
write,key0018,0.00,false,7
write,key0000,0.00,false,6
read,key0000,0.00,true,3
read,key0009,0.00,true,1
write,key0009,2.00,false,4
read,key0019,0.00,true,3
read,key0004,0.00,true,4
write,key0007,0.00,false,2
write,key0017,0.00,false,8
write,key0016,0.00,false,6
read,key0004,51.00,false,5
write,key0018,0.00,false,8
write,key0014,0.00,false,6
write,key0002,0.00,false,6
write,key0002,0.00,false,7
write,key0006,0.00,false,9
read,key0006,0.00,true,6
write,key0006,0.00,false,10
read,key0017,0.00,true,5
read,key0013,52.00,false,4
write,key0015,0.00,false,3
read,key0013,0.00,false,4
write,key0010,0.00,false,5
write,key0003,0.00,false,6
write,key0018,0.00,false,9
read,key0016,1.00,true,1
write,key0010,1.00,false,6
write,key0018,0.00,false,10
read,key0006,1.00,true,6
write,key0016,0.00,false,7
write,key0005,0.00,false,5
write,key0017,0.00,false,9
write,key0017,0.00,false,11
read,key0008,0.00,true,3
read,key0019,0.00,true,3
read,key0018,0.00,true,4
write,key0017,0.00,false,11
read,key0014,0.00,true,2
read,key0008,52.00,false,4
read,key0009,52.00,false,4
read,key0016,0.00,true,1
write,key0010,0.00,false,7
write,key0009,0.00,false,5
read,key0002,55.00,false,7
write,key0007,0.00,false,3
read,key0000,0.00,true,3
read,key0010,58.00,false,7
write,key0010,1.00,false,8
write,key0000,0.00,false,7
read,key0000,0.00,true,5
read,key0013,0.00,false,4
write,key0009,0.00,false,6
read,key0019,0.00,true,3
read,key0015,0.00,true,1
read,key0004,0.00,true,4
write,key0008,0.00,false,5
write,key0011,0.00,false,4
write,key0001,0.00,false,6
read,key0015,0.00,true,1
write,key0007,0.00,false,4
write,key0011,0.00,false,5
write,key0015,0.00,false,4
write,key0014,0.00,false,7
read,key0004,0.00,true,4
read,key0012,0.00,true,2
write,key0017,0.00,false,12
write,key0013,0.00,false,5
read,key0014,0.00,true,3
write,key0000,0.00,false,8
read,key0018,0.00,true,4
read,key0009,0.00,true,1
write,key0006,0.00,false,11
write,key0009,0.00,false,7
write,key0010,0.00,false,9
write,key0011,0.00,false,6
read,key0002,50.00,false,7
write,key0017,0.00,false,13
write,key0017,0.00,false,14
write,key0004,0.00,false,6
read,key0013,0.00,true,4
read,key0011,0.00,true,3
read,key0018,0.00,true,4
read,key0010,0.00,true,8
write,key0003,0.00,false,7
write,key0009,0.00,false,8
read,key0011,0.00,true,5
write,key0016,0.00,false,9
write,key0016,0.00,false,8
read,key0004,0.00,true,4
read,key0005,53.00,false,6
read,key0012,1.00,true,2
read,key0001,1.00,true,5
write,key0000,0.00,false,9
write,key0016,0.00,false,10
write,key0010,0.00,false,10
read,key0007,0.00,true,2
read,key0006,0.00,true,6
read,key0003,0.00,true,5
read,key0002,0.00,true,5
read,key0010,52.00,false,10
read,key0013,0.00,true,4
read,key0009,0.00,true,7
write,key0010,0.00,false,11
write,key0009,0.00,false,10
write,key0009,0.00,false,9
read,key0008,0.00,true,4
read,key0007,0.00,true,1
read,key0006,0.00,false,11
write,key0002,0.00,false,8
read,key0006,0.00,false,11
