op,key,latency_ms,stale,version
read,key0019,0.00,false,13
read,key0011,1.00,false,8
read,key0004,3.00,false,2
read,key0001,0.00,false,8
read,key0019,0.00,false,13
read,key0002,0.00,false,5
read,key0006,1.00,false,6
write,key0015,811.00,false,8
write,key0003,812.00,false,14
write,key0011,811.00,false,9
write,key0008,805.00,false,10
write,key0004,811.00,false,3
write,key0019,803.00,false,15
read,key0005,2.00,false,8
read,key0005,2.00,false,8
write,key0017,813.00,false,9
read,key0002,2.00,false,5
read,key0017,2.00,false,9
write,key0019,806.00,false,15
write,key0006,808.00,false,6
write,key0016,803.00,false,6
read,key0017,1.00,false,9
read,key0011,0.00,false,9
read,key0000,0.00,false,3
read,key0019,0.00,false,15
read,key0012,0.00,false,5
write,key0013,817.00,false,13
write,key0004,814.00,false,5
write,key0012,817.00,false,6
write,key0015,810.00,false,9
write,key0007,815.00,false,7
write,key0016,811.00,false,7
write,key0010,820.00,false,11
write,key0010,820.00,false,11
write,key0000,818.00,false,4
read,key0012,2.00,false,6
read,key0000,2.00,false,4
read,key0006,2.00,false,6
read,key0018,2.00,false,10
write,key0004,820.00,false,5
read,key0019,4.00,false,15
read,key0005,4.00,false,8
read,key0001,8.00,false,8
write,key0003,815.00,false,16
write,key0017,816.00,false,10
write,key0012,810.00,false,7
write,key0000,818.00,false,5
write,key0006,818.00,false,7
write,key0003,813.00,false,16
write,key0015,815.00,false,11
write,key0015,811.00,false,11
write,key0011,815.00,false,10
write,key0005,818.00,false,9
read,key0013,3.00,false,13
read,key0009,2.00,false,10
read,key0002,3.00,false,5
read,key0006,2.00,false,7
read,key0014,5.00,false,7
read,key0015,0.00,false,11
read,key0011,6.00,false,10
write,key0017,807.00,false,12
write,key0013,814.00,false,15
write,key0018,807.00,false,11
write,key0012,807.00,false,8
write,key0001,811.00,false,9
write,key0016,813.00,false,8
write,key0017,814.00,false,12
write,key0009,810.00,false,11
write,key0008,813.00,false,11
read,key0017,4.00,false,12
read,key0006,4.00,false,7
write,key0013,813.00,false,15
read,key0012,2.00,false,8
read,key0001,0.00,false,9
read,key0016,0.00,false,8
read,key0006,0.00,false,7
read,key0019,0.00,false,15
write,key0010,812.00,false,12
write,key0005,816.00,false,10
write,key0007,817.00,false,8
write,key0013,807.00,false,16
write,key0001,816.00,false,12
write,key0001,816.00,false,12
write,key0002,817.00,false,6
write,key0017,812.00,false,13
write,key0015,816.00,false,12
write,key0001,816.00,false,12
read,key0010,3.00,false,12
read,key0017,3.00,false,13
read,key0013,4.00,false,16
write,key0007,810.00,false,9
write,key0003,809.00,false,17
write,key0006,812.00,false,8
write,key0002,803.00,false,7
write,key0011,807.00,false,11
write,key0016,811.00,false,9
write,key0004,810.00,false,6
write,key0009,810.00,false,12
write,key0019,807.00,false,16
write,key0000,810.00,false,6
read,key0008,2.00,false,11
read,key0010,2.00,false,12
read,key0005,2.00,false,10
read,key0015,2.00,false,12
read,key0018,2.00,false,11
read,key0018,2.00,false,12
write,key0018,805.00,false,12
write,key0002,805.00,false,8
write,key0019,805.00,false,18
write,key0019,806.00,false,18
write,key0013,805.00,false,18
write,key0000,805.00,false,7
read,key0013,0.00,false,18
read,key0012,1.00,false,9
write,key0012,805.00,false,9
read,key0004,1.00,false,6
write,key0017,805.00,false,14
read,key0002,0.00,false,8
read,key0019,0.00,false,18
write,key0013,808.00,false,18
read,key0017,0.00,false,14
write,key0016,805.00,false,11
write,key0010,807.00,false,14
write,key0016,807.00,false,12
write,key0006,807.00,false,9
write,key0014,805.00,false,8
write,key0015,807.00,false,14
write,key0016,805.00,false,12
write,key0012,803.00,false,10
read,key0013,3.00,false,18
read,key0018,3.00,false,12
read,key0017,3.00,false,14
write,key0015,805.00,false,14
read,key0010,2.00,false,14
read,key0010,6.00,false,14
read,key0006,6.00,false,9
write,key0004,804.00,false,8
write,key0004,806.00,false,8
read,key0005,2.00,false,10
read,key0000,2.00,false,7
read,key0015,2.00,false,14
read,key0012,2.00,false,10
read,key0008,1.00,false,11
read,key0002,0.00,false,8
read,key0015,3.00,false,15
read,key0011,0.00,false,11
read,key0001,1.00,false,13
write,key0015,806.00,false,16
write,key0017,807.00,false,15
write,key0015,810.00,false,16
write,key0008,810.00,false,12
write,key0014,806.00,false,9
read,key0014,3.00,false,9
write,key0001,802.00,false,14
read,key0019,3.00,false,18
write,key0005,803.00,false,11
read,key0004,3.00,false,9
read,key0009,2.00,false,13
write,key0010,805.00,false,15
read,key0008,3.00,false,12
read,key0011,2.00,false,11
read,key0012,9.00,false,10
read,key0002,3.00,false,8
write,key0009,805.00,false,13
write,key0001,804.00,false,14
read,key0009,1.00,false,13
read,key0011,4.00,false,11
read,key0004,2.00,false,8
read,key0018,1.00,false,12
read,key0006,0.00,false,9
read,key0013,1.00,false,18
read,key0019,0.00,false,18
read,key0012,0.00,false,10
write,key0015,811.00,false,18
write,key0003,811.00,false,18
write,key0011,804.00,false,14
write,key0000,815.00,false,8
write,key0010,811.00,false,16
write,key0005,802.00,false,12
read,key0009,2.00,false,13
write,key0013,804.00,false,19
write,key0011,808.00,false,14
write,key0011,804.00,false,14
write,key0015,802.00,false,18
read,key0004,3.00,false,9
read,key0002,4.00,false,8
read,key0006,7.00,false,9
read,key0017,2.00,false,15
read,key0007,0.00,false,10
write,key0001,812.00,false,16
write,key0017,809.00,false,16
write,key0001,811.00,false,16
write,key0002,811.00,false,9
write,key0005,811.00,false,14
write,key0005,809.00,false,14
write,key0014,802.00,false,10
write,key0007,807.00,false,10
write,key0015,805.00,false,19
read,key0007,2.00,false,10
read,key0015,2.00,false,19
read,key0002,3.00,false,9
write,key0012,807.00,false,11
read,key0019,5.00,false,18
read,key0013,1.00,false,19
read,key0006,0.00,false,9
read,key0000,0.00,false,8
read,key0010,0.00,false,16
write,key0007,811.00,false,11
write,key0011,809.00,false,16
write,key0017,808.00,false,17
write,key0010,812.00,false,18
write,key0011,803.00,false,16
write,key0010,811.00,false,18
write,key0003,804.00,false,19
write,key0009,808.00,false,14
write,key0013,808.00,false,20
write,key0016,811.00,false,13
read,key0007,5.00,false,11
read,key0013,0.00,false,20
read,key0012,1.00,false,11
write,key0004,806.00,false,11
write,key0015,813.00,false,20
write,key0012,813.00,false,12
write,key0013,813.00,false,21
write,key0004,813.00,false,10
write,key0016,813.00,false,14
write,key0003,813.00,false,20
write,key0010,813.00,false,19
write,key0005,813.00,false,15
read,key0014,2.00,false,10
read,key0002,3.00,false,9
read,key0019,2.00,false,18
read,key0009,2.00,false,14
write,key0007,813.00,false,12
read,key0011,2.00,false,16
read,key0012,2.00,false,12
read,key0005,0.00,false,16
read,key0004,0.00,false,11
read,key0006,0.00,false,9
write,key0009,808.00,false,15
