op,key,latency_ms,stale,version,timestamp_ms
read,key0011,5.00,false,0,1775365919405
read,key0006,7.00,false,1,1775365919407
read,key0007,7.00,false,0,1775365919407
read,key0010,8.00,false,0,1775365919407
read,key0016,8.00,false,1,1775365919407
read,key0002,9.00,false,0,1775365919409
read,key0011,9.00,false,0,1775365919409
read,key0017,1.00,false,0,1775365919409
read,key0019,4.00,false,0,1775365919410
read,key0019,2.00,false,0,1775365919410
read,key0016,3.00,false,2,1775365919410
read,key0008,3.00,false,0,1775365919410
read,key0014,2.00,false,1,1775365919411
read,key0013,4.00,false,0,1775365919413
read,key0011,5.00,false,0,1775365919414
read,key0019,4.00,false,0,1775365919414
read,key0011,3.00,false,0,1775365919415
read,key0006,4.00,false,1,1775365919415
read,key0002,1.00,false,0,1775365919415
read,key0004,5.00,false,0,1775365919416
read,key0005,3.00,false,0,1775365919419
read,key0019,3.00,false,0,1775365919419
read,key0019,6.00,false,0,1775365919419
read,key0010,4.00,false,0,1775365919419
read,key0002,5.00,false,0,1775365919420
read,key0014,1.00,false,1,1775365919420
read,key0015,3.00,false,0,1775365919423
read,key0006,3.00,false,2,1775365919424
read,key0009,4.00,false,0,1775365919424
read,key0015,5.00,false,0,1775365919424
read,key0011,5.00,false,0,1775365919424
read,key0012,1.00,false,1,1775365919426
read,key0003,2.00,false,0,1775365919426
read,key0017,2.00,false,0,1775365919426
read,key0019,2.00,false,0,1775365919426
read,key0006,1.00,false,1,1775365919427
read,key0006,1.00,false,2,1775365919427
read,key0014,2.00,false,1,1775365919427
read,key0018,1.00,false,1,1775365919427
read,key0012,0.00,false,1,1775365919427
read,key0012,0.00,false,1,1775365919428
read,key0018,1.00,false,1,1775365919429
read,key0000,2.00,false,0,1775365919429
read,key0016,2.00,false,1,1775365919429
read,key0002,1.00,false,0,1775365919429
read,key0018,0.00,false,1,1775365919430
read,key0001,1.00,false,1,1775365919430
read,key0015,0.00,false,0,1775365919430
read,key0001,1.00,false,1,1775365919430
read,key0018,0.00,false,1,1775365919431
read,key0011,1.00,false,1,1775365919431
read,key0012,0.00,false,1,1775365919431
read,key0006,0.00,false,2,1775365919431
read,key0003,0.00,false,0,1775365919431
read,key0005,0.00,false,0,1775365919431
read,key0011,0.00,false,0,1775365919432
read,key0000,0.00,false,0,1775365919432
read,key0008,1.00,false,0,1775365919433
read,key0014,1.00,false,1,1775365919433
read,key0019,0.00,false,0,1775365919433
read,key0003,0.00,false,0,1775365919433
read,key0013,0.00,false,0,1775365919434
read,key0010,1.00,false,0,1775365919434
read,key0008,1.00,false,0,1775365919435
read,key0003,1.00,false,0,1775365919435
read,key0003,0.00,false,0,1775365919435
read,key0002,1.00,false,0,1775365919436
read,key0017,1.00,false,0,1775365919436
read,key0000,1.00,false,0,1775365919437
read,key0001,1.00,false,1,1775365919437
read,key0000,1.00,false,0,1775365919437
read,key0002,0.00,false,0,1775365919437
read,key0002,0.00,false,0,1775365919438
read,key0017,1.00,false,0,1775365919439
read,key0018,1.00,false,1,1775365919439
read,key0012,0.00,false,1,1775365919439
read,key0012,1.00,false,1,1775365919439
read,key0019,1.00,false,0,1775365919440
read,key0001,0.00,false,1,1775365919440
read,key0017,1.00,false,0,1775365919440
read,key0003,2.00,false,0,1775365919443
read,key0008,1.00,false,0,1775365919444
write,key0011,805.00,false,2,1775365920215
write,key0010,816.00,false,1,1775365920216
write,key0016,816.00,false,3,1775365920216
write,key0011,816.00,false,2,1775365920216
read,key0004,0.00,false,0,1775365920217
read,key0012,0.00,false,2,1775365920217
read,key0006,0.00,false,2,1775365920218
read,key0016,3.00,false,3,1775365920220
read,key0006,3.00,false,2,1775365920221
read,key0003,0.00,false,0,1775365920221
write,key0006,805.00,false,2,1775365920221
read,key0006,0.00,false,2,1775365920223
read,key0007,0.00,false,0,1775365920223
read,key0008,0.00,false,0,1775365920223
read,key0006,0.00,false,2,1775365920224
read,key0007,0.00,false,0,1775365920224
read,key0016,0.00,false,3,1775365920225
read,key0002,0.00,false,1,1775365920225
read,key0012,0.00,false,2,1775365920225
read,key0015,0.00,false,0,1775365920226
read,key0019,0.00,false,1,1775365920226
read,key0002,1.00,false,1,1775365920228
read,key0006,1.00,false,2,1775365920229
read,key0012,2.00,false,2,1775365920231
read,key0007,0.00,false,0,1775365920232
write,key0014,804.00,false,2,1775365920232
read,key0006,2.00,false,2,1775365920235
read,key0011,0.00,false,2,1775365920236
write,key0016,804.00,false,3,1775365920235
read,key0009,0.00,false,0,1775365920236
read,key0015,2.00,false,0,1775365920239
read,key0009,0.00,false,0,1775365920239
read,key0003,0.00,false,0,1775365920239
write,key0002,803.00,false,1,1775365920244
write,key0012,803.00,false,2,1775365920244
read,key0006,0.00,false,2,1775365920244
read,key0011,1.00,false,2,1775365920245
read,key0014,1.00,false,2,1775365920246
read,key0011,0.00,false,2,1775365920246
read,key0006,0.00,false,2,1775365920246
write,key0019,805.00,false,1,1775365920249
read,key0004,0.00,false,0,1775365920249
read,key0009,0.00,false,0,1775365920250
read,key0015,0.00,false,0,1775365920250
write,key0007,806.00,false,1,1775365921027
write,key0003,810.00,false,1,1775365921028
write,key0001,806.00,false,2,1775365921028
write,key0013,810.00,false,1,1775365921028
read,key0013,2.00,false,1,1775365921033
read,key0018,3.00,false,1,1775365921034
read,key0019,4.00,false,2,1775365921037
read,key0008,5.00,false,0,1775365921037
read,key0000,2.00,false,1,1775365921039
write,key0000,805.00,false,1,1775365921037
read,key0005,9.00,false,0,1775365921040
read,key0009,3.00,false,0,1775365921040
read,key0010,7.00,false,1,1775365921041
read,key0009,2.00,false,0,1775365921042
read,key0008,2.00,false,0,1775365921042
read,key0016,3.00,false,4,1775365921043
read,key0013,2.00,false,1,1775365921043
write,key0019,805.00,false,2,1775365921042
read,key0015,3.00,false,0,1775365921044
read,key0010,2.00,false,1,1775365921045
read,key0000,2.00,false,1,1775365921045
read,key0016,1.00,false,4,1775365921045
read,key0010,1.00,false,1,1775365921045
read,key0002,1.00,false,1,1775365921045
read,key0012,0.00,false,2,1775365921045
read,key0009,0.00,false,0,1775365921045
read,key0002,0.00,false,1,1775365921045
read,key0016,0.00,false,4,1775365921045
read,key0003,0.00,false,1,1775365921046
read,key0019,0.00,false,2,1775365921046
read,key0000,1.00,false,1,1775365921046
read,key0010,0.00,false,1,1775365921046
read,key0016,0.00,false,4,1775365921047
read,key0007,0.00,false,1,1775365921047
read,key0018,1.00,false,1,1775365921047
read,key0018,0.00,false,1,1775365921047
read,key0009,1.00,false,0,1775365921047
write,key0004,806.00,false,1,1775365921046
read,key0010,0.00,false,1,1775365921048
read,key0004,0.00,false,1,1775365921048
read,key0003,0.00,false,1,1775365921048
read,key0015,0.00,false,0,1775365921048
read,key0018,1.00,false,1,1775365921049
read,key0009,1.00,false,0,1775365921049
write,key0011,802.00,false,3,1775365921049
read,key0019,2.00,false,2,1775365921050
read,key0017,2.00,false,0,1775365921050
read,key0015,0.00,false,0,1775365921050
read,key0009,1.00,false,0,1775365921050
write,key0014,802.00,false,3,1775365921048
read,key0014,0.00,false,3,1775365921051
read,key0001,0.00,false,2,1775365921051
read,key0016,0.00,false,4,1775365921051
read,key0002,0.00,false,1,1775365921051
read,key0008,0.00,false,0,1775365921051
read,key0011,0.00,false,3,1775365921051
read,key0004,0.00,false,1,1775365921052
read,key0011,0.00,false,3,1775365921052
read,key0001,0.00,false,2,1775365921052
read,key0016,1.00,false,4,1775365921053
read,key0004,0.00,false,1,1775365921053
read,key0003,1.00,false,1,1775365921053
read,key0005,2.00,false,0,1775365921053
read,key0000,2.00,false,1,1775365921054
read,key0007,0.00,false,1,1775365921054
read,key0001,0.00,false,2,1775365921054
read,key0000,0.00,false,1,1775365921054
read,key0006,0.00,false,2,1775365921054
read,key0005,1.00,false,0,1775365921055
read,key0006,0.00,false,2,1775365921055
read,key0006,0.00,false,2,1775365921056
read,key0006,0.00,false,2,1775365921056
write,key0016,804.00,false,4,1775365921055
read,key0011,0.00,false,3,1775365921056
read,key0019,0.00,false,2,1775365921056
read,key0010,1.00,false,1,1775365921056
read,key0010,0.00,false,1,1775365921056
read,key0011,0.00,false,3,1775365921057
read,key0005,0.00,false,0,1775365921057
read,key0012,0.00,false,3,1775365921057
read,key0002,0.00,false,1,1775365921057
read,key0014,0.00,false,4,1775365921057
read,key0004,0.00,false,1,1775365921057
read,key0005,0.00,false,0,1775365921058
read,key0013,0.00,false,1,1775365921058
read,key0003,0.00,false,1,1775365921058
read,key0010,1.00,false,1,1775365921059
read,key0000,0.00,false,1,1775365921059
read,key0003,0.00,false,1,1775365921059
read,key0018,1.00,false,1,1775365921059
read,key0009,0.00,false,0,1775365921059
read,key0017,0.00,false,2,1775365921059
read,key0005,0.00,false,0,1775365921060
read,key0014,0.00,false,4,1775365921060
read,key0002,0.00,false,1,1775365921060
read,key0003,0.00,false,1,1775365921060
read,key0009,0.00,false,0,1775365921060
read,key0014,0.00,false,3,1775365921061
read,key0003,1.00,false,1,1775365921061
read,key0007,1.00,false,1,1775365921062
read,key0006,0.00,false,2,1775365921062
read,key0006,1.00,false,2,1775365921062
read,key0005,0.00,false,0,1775365921062
read,key0008,1.00,false,0,1775365921063
read,key0011,0.00,false,3,1775365921063
read,key0001,0.00,false,3,1775365921063
read,key0005,0.00,false,0,1775365921064
read,key0015,0.00,false,0,1775365921064
read,key0004,2.00,false,1,1775365921065
