Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771788189,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771788190,15,,Aggregated,0.000000,0.000000,15,16,17,17,20,57,59,59,62,62,62,203,0,15,18.448098126817218,12.354000005871058,62.20579193904996,899.768472906404
1771788191,30,,Aggregated,0.000000,0.000000,15,16,17,17,25,40,56,57,62,62,62,642,0,15,17.881272572297256,12.283749994821846,62.20579193904996,762.8894080996885
1771788192,45,,Aggregated,97.000000,0.000000,15,16,16,17,19,34,44,50,59,62,62,1325,0,15,16.883051288402026,12.092667049728334,62.20579193904996,789.2120754716981
1771788193,60,,Aggregated,213.500000,0.000000,15,16,16,17,18,21,43,46,59,62,62,2232,0,15,16.43938812906862,12.092667049728334,62.20579193904996,784.7983870967741
1771788194,75,,Aggregated,328.666667,0.000000,15,16,17,17,18,19,41,46,59,62,62,3358,0,15,16.308035348107158,12.078125029802322,62.20579193904996,782.7772483621203
1771788195,90,,Aggregated,441.750000,0.000000,15,16,17,17,18,19,38,44,59,62,62,4756,0,15,16.163360217651366,11.849583010189235,62.20579193904996,777.2300252312868
1771788196,105,,Aggregated,555.600000,0.000000,15,16,17,17,18,20,45,59,88,98,98,6281,0,15,16.81313045830222,11.849583010189235,97.60924999136478,781.420633657061
1771788197,120,,Aggregated,674.666667,0.000000,16,16,17,17,18,19,42,56,87,98,98,8090,0,16,16.656336547289968,11.666125035844743,97.60924999136478,780.3369592088999
1771788198,135,,Aggregated,781.285714,0.000000,16,16,17,17,18,21,50,72,150,160,160,9991,0,16,17.448724959337042,11.666125035844743,158.90312497504056,787.7621859673707
1771788199,150,,Aggregated,895.750000,0.000000,16,16,17,17,19,30,67,89,140,160,160,12049,0,16,18.29404036152297,11.666125035844743,158.90312497504056,794.2293136359864
1771788200,165,,Aggregated,992.111111,0.000000,16,16,17,17,18,22,59,85,140,160,160,14574,0,16,17.92218132188391,11.484374990686774,158.90312497504056,795.1444352957321
